HRWO,HARMSWORTH
HSBH,HILLSIDE BEACH
HSVK,Husavik Remote
HTIS,HUNTERS ISLAND
HTNY,Hartney
HWCK,Hayward Creek
HWIR,HOLLOW WATER INDIAN RESERVE 
HYWD,Haywood
HZEL,HAZEL
HZRG,Hazelridge
ILCH,Ile Des Chenes
ILFR,ILFORD
INGF,INGOLF
INGL,Inglis (Shellmouth)
INWD,INWOOD
ISLK,ISLAND LAKE
JKHD,Jackhead
JSLK,Jessica Lake
JSTC,JUSTICE
KALD,KALEIDA
KANE,KANE
KELD,KELD
KEYS,KEYES
KKNS,Kirkness
KLFL,Kleefeld
KLRN,Killarney
KLSY,Kelsey
KLWD,Kelwood
KMNY,KEMNAY
KMRN,KOMARNO
KNST,KINOSOTA
KNTN,KENTON
KNVL,KENVILLE
KRKL,KIRKELLA
KSTK,Koostatak
KTRM,KATRIME
LADR,LAUDER
LAUR,LAURIER
LBRV,LITTLE BLACK RIVER
LCBC,LAC BROCHET
LCBN,Lac Du Bonnet
LCPT,Lockport
LDWD,LADYWOOD
LEBH,LESTER BEACH
LENA,LENA
LENR,LENORE
LEON,LEON
LERV,Lee River
LFCK,Little Frog
LFRD,Leaf Rapids
LGPN,Long Point
LGRD,Little Grand Rapids
LIBA,Libau (Site to be updated to fiber backhaul Jan/Feb 2016)
LKFR,LAKE FRANCIS
LKFS,LAKE FOREST
LKLD,LAKELAND
LKLK,Leftrook Lake
LKMG,LAKE METIGOSHE
LMST,LIMESTONE
LNDR,Lundar
LNGR,Langruth
LNMK,Landmark
LNST,LOON STRAITS
LNWD,LENSWOOD
LORT,Lorette
LPIRMBCH,LONG PLAIN INDIAN RESERVE
LSLL,La Salle
LTLR,Letellier
LTSK,LITTLE SASKATCHEWAN
LWFR,LOWE FARM
LYDT,LYDIATT
LYLK,Lynn Lake
LYTN,LYLETON
MANT,Manitou
MCCN,MC CONNELL
MCDN,MACDONALD
MCGR,MacGregor
MCHL,Mitchell
MCLY,MC AULEY
MCRY,Mc Creary
MDCH,Middlechurch
MDKA,MEDIKA
MDLB,Middleboro
MDLE,MEADOW LEA
MDPR,"MEADOW PORTAGE, HILL'S CAMP"
MDWS,MEADOWS
MEDR,MEDORA
MELB,Meleb
MELT,Melita
MFNG,Mafeking
MGLK,Magill Lake
MGNT,MAGNET
MIAM,Miami
MIDL,MERRIDALE
MIIS,MISSION ISLAND
MINT,Minto
MKCK,MINK CREEK
MKLK,Mc Cusker Lake
MKNK,MAKINAK
MKRF,MAKAROFF
MLBR,MELBOURNE
MLHL,MULVIHILL
MLNR,Milner Ridge
MLRD,MALLARD
MLRS,Melrose
MLSM,MOOSE LAKE
MLSN,MOLSON
MNDS,Minnedosa
MNGT,Manigotagan R
MNIS,MENISINO
MNLK,Moon Lake
MNOT,Miniota
MNSN,MANSON
MNTN,Minitonas
MOLN,MOLINE
MPBH,MANIPOGO BEACH
MRCH,MARCHAND
MRDN,Morden
MRGR,MARGARET
MRPL,MARIAPOLIS
MRQT,Marquette
MRRS,Morris
MRWE,MORWEENA
